pdf_id,estado_D,codex_D,gemini_D,claude_D,codex_ABC,gemini_ABC,claude_ABC,codex_notas,gemini_notas,claude_notas
32,3 distintos,Sin falla relevante,FF clasica,FF con reconocimiento,0/0/0,1/0/1,1/1/1,No corresponde marcar A&C: el problema central no es extrapolación desde muestra no probabilística sino análisis de registros de concursos.,"Muestreo no probabilístico (caballos de exhibición nacional, 'mejores especímenes') y extrapolación explícita a las razas y generaciones futuras sin advertir la limitación inferencial.",No-probabilístico (concursos únicamente). Reconocen limitaciones pero extrapolan a futuras generaciones sin datos. Conclusión sobre método de selección no fundamentada en datos de descendencia.
33,3 distintos,Sin falla relevante,FF clasica,No evaluable,0/0/0,1/0/1,0/0/0,Diseño experimental animal; no encaja en la falla A&C de encuesta/muestreo humano no probabilístico.,Muestreo no probabilístico (intencional por frecuencia de mordida) y se extrapolan las conclusiones a la población general de cerdos sin advertir las limitaciones.,"Diseño experimental comparativo, no muestreo inferencial. Intervenciones estandarizadas (novel object/arena tests) comparan razas y sexos. Objetivo es comparación de grupos bajo condiciones controlada"
34,Gemini=Claude contra Codex,Sin falla relevante,No evaluable,No evaluable,0/0/0,0/0/0,0/0/0,No hay encuesta o muestreo no probabilístico con extrapolación poblacional.,"El estudio es un experimento controlado con animales de granja, no un estudio observacional o epidemiológico que requiera muestreo inferencial de una población objetivo en sentido social/epidemiológic",Experimento agrícola/veterinario con asignación aleatoria de tratamientos en granja comercial. No es estudio de muestreo inferencial poblacional sino prueba de eficacia de intervención dietética.
35,Codex=Claude contra Gemini,FF clasica,Debilidad importante,FF clasica,1/0/1,1/0/0,1/0/1,No se documenta selección probabilística; los resultados se proyectan a la comunidad facultativa.,"Muestreo no probabilístico (voluntario/conveniencia) para caracterizar una población definida (facultad), lo que limita la inferencia estadística a dicha población.","Muestreo no probabilístico (autoselección, 13.2% tasa respuesta de ~730 personas), pero extracta conclusiones a 'entornos educativos' y 'políticas institucionales' sin advertir limitaciones inferencia"
36,3 distintos,FF con reconocimiento,FF clasica,No evaluable,1/1/1,1/0/1,0/0/0,"Aunque reconoce la limitación de tamaño muestral, sí combina muestra acotada con inferencias/recomendaciones amplias.",Muestreo no probabilístico (10 profesores) y extrapolación implícita a 'el profesorado' o 'sistema educativo chileno' sin advertir explícitamente las limitaciones de generalización.,Estudio exploratorio-descriptivo con n=10 docentes de conveniencia. No utiliza inferencia estadística formal (solo porcentajes descriptivos). Sin pregunta muestral clásica ni metodología de muestreo p
38,Gemini=Claude contra Codex,FF clasica,Debilidad importante,Debilidad importante,1/0/1,1/1/0,1/1/0,"La IA lo dejó pasar, pero el texto declara explícitamente muestra no probabilística y generaliza al perfil docente institucional.","El estudio usa muestreo no probabilístico, pero sus conclusiones se acotan a la universidad estudiada sin extrapolar explícitamente a una población mayor. Además, advierte sobre el tipo de muestreo.","Muestreo no probabilístico intencional (submuestra teórica por facultad), pero conclusiones acotadas explícitamente a Universidad Arturo Prat sin extrapolación a población docente mayor."
39,Codex=Gemini contra Claude,FF clasica,FF clasica,Debilidad importante,1/0/1,1/0/1,1/0/1,Base local no probabilística con inferencia a desempeño de genotipos; A&C razonable.,Muestreo no probabilístico de un único sitio experimental y extrapolación explícita a ganado lechero en condiciones subtropicales de México sin advertir la limitación.,"Muestreo de una única granja experimental sin probabilismo (n=171 vacas, 1996-2011). Busca contribuir al conocimiento sobre ganado lechero subtropical mexicano, pero extrapolación implícita sin advert"
41,Codex=Gemini contra Claude,FF clasica,FF clasica,Debilidad importante,1/0/1,1/0/1,0/0/1,"Hay cálculo de tamaño muestral, pero no procedimiento probabilístico de selección; las conclusiones se proyectan al cantón.",Muestreo de UPA no probabilístico (selección no aleatoria descrita) y extrapolación de resultados a la población del cantón sin advertir limitaciones.,"Muestreo probabilístico (método proporciones, IC90%, error 10%) pero vago en especificación; inconsistencia: menciona 113 UPAs pero reporta 126 encuestadas; extrapolación a 2235 UPAs sin discutir limi"
42,Codex=Gemini contra Claude,FF clasica,FF clasica,No evaluable,1/0/1,1/0/1,0/0/0,Caso mixto con datos de encuesta no probabilística usados para caracterizar población barrial/política pública.,Muestreo no probabilístico (caso de estudio intencional y encuestas/fichas sin detalle de selección) con extrapolación explícita a asentamientos informales del DMQ sin advertir limitaciones.,"Estudio de caso cualitativo-cuantitativo. Colinas del Norte se selecciona explícitamente como 'caso de estudio típico', no como muestra probabilística. No hay pretensión de inferencia estadística clás"
43,3 distintos,Sin falla relevante,FF clasica,FF con reconocimiento,0/0/0,1/0/1,1/1/1,"Puede tener límites de subregistro, pero no es la falla A&C definida: no hay muestreo no probabilístico de participantes con extrapolación.","El estudio usa datos de denuncias (muestreo no probabilístico) para estimar la probabilidad de violencia en mujeres de Bogotá, extrapolando sin advertir explícitamente la limitación de la muestra.","Usa denuncias (muestra conveniencia) para generalizar a mujeres de Bogotá. Reconoce sesgo de no denuncias y acceso desigual, pero extrapola igual."
44,Codex=Claude contra Gemini,No evaluable,FF clasica,No evaluable,0/0/0,1/0/1,0/0/0,"No aplicable a A&C; Gemini parece haber castigado extrapolación temática, pero el texto incluso advierte límites de representatividad.","El artículo utiliza muestreo no probabilístico (entrevistas, datos de ciencia ciudadana) y extrapola explícitamente datos de Bogotá a nivel nacional para estimar avituristas sin advertir claramente la",Artículo de análisis contextual y revisión de literatura sobre turismo post-conflicto. Incluye datos descriptivos e ilustrativos pero sin inferencia estadística formal ni pregunta de generalización de
46,Codex=Gemini contra Claude,FF con reconocimiento,FF con reconocimiento,No evaluable,1/1/1,1/1/1,0/0/0,"Muestra de aula muy localizada con extrapolación pedagógica amplia, aunque se advierten limitaciones.","El estudio usa muestreo no probabilístico (conveniencia, 19 estudiantes de una clase) y, a pesar de reconocer la limitación del número de participantes, generaliza los hallazgos al campo de la educaci","Estudio de implementación/intervención didáctica localizada en 1 aula (N=19), no estudio de muestreo inferencial. Preguntas de investigación sobre efectividad de método IBL, no sobre representatividad"
47,3 distintos,Debilidad importante,FF con reconocimiento,FF clasica,1/0/0,1/1/1,1/0/1,"Hay muestra escolar no probabilística, pero el encuadre explícito como estudio de caso reduce C; no clasifico A&C fuerte.","Muestreo no probabilístico (conveniencia) y, aunque se menciona como 'estudio de caso', se extrapolan los resultados a 'los estudiantes' en general y se extraen conclusiones amplias.","Muestreo de conveniencia de un único centro escolar + pruebas estadísticas (U Mann-Whitney, χ²) + conclusiones generalizadas sin reconocer limitación muestral."
48,Codex=Claude contra Gemini,FF clasica,FF con reconocimiento,FF clasica,1/0/1,1/1/1,1/0/1,A explícita y conclusiones sobre constructos estudiantiles más allá del grupo intacto.,"Muestreo no probabilístico de estudiantes de psicología de una universidad privada, pero el título y resumen generalizan a 'estudiantes universitarios de Arequipa'. Se advierte el tipo de muestreo.","Muestreo no probabilístico (grupos intactos) de 157 estudiantes. Usa inferencia estadística (t de Student, correlación Pearson, regresión lineal). Extrapola a 'estudiantes universitarios' sin adverten"
50,Codex=Gemini contra Claude,FF clasica,FF clasica,Debilidad importante,1/0/1,1/0/1,1/0/0,Encuesta no probabilística con modelo confirmatorio y extrapolación institucional/regional.,Muestreo no probabilístico intencional con inferencia estadística y extrapolación de resultados a la población de estudiantes de educación superior virtual sin advertir explícitamente la limitación de,"Muestreo intencional sin probabilidad usado para validar modelo estructural. No advierten limitación fundamental: Cochran es probabilístico, pero usan intencional. Sin extrapolación explícita a poblac"
51,Codex=Gemini contra Claude,FF clasica,FF clasica,Debilidad importante,1/0/1,1/0/1,1/0/0,Muestra empresarial documental no probabilística/por disponibilidad con inferencia sectorial.,Muestreo no probabilístico (por disponibilidad de datos) y extrapolación explícita a la población de MIPYMES comerciales en Bogotá sin advertir las limitaciones.,"Muestreo aparentemente no probabilístico (empresas de bases administrativas SIREM/PIE/SIIS) sin descripción clara de selección. Reporta promedios (11.6%, 7.8%) sin intervalos/incertidumbre. No extrapo"
54,Codex=Gemini contra Claude,FF clasica,FF clasica,No evaluable,1/0/1,1/0/1,0/0/0,Componente participativo con agricultores seleccionados intencionalmente y recomendaciones productivas generales.,Muestreo de agricultores no probabilístico (por conveniencia/intencional) y se extrapolan sus preferencias y viabilidad económica a una población mayor de agricultores sin advertir la limitación.,"Experimento agrícola de campo con diseño RCBD validado. Evalúa variedades de pastos, no población epidemiológica/social con muestreo inferencial."
55,3 distintos,Sin falla relevante,FF clasica,No evaluable,0/0/0,1/0/1,0/0/0,"Experimento controlado con especies/forrajes, no encuesta o muestra humana no probabilística; las recomendaciones reconocen condiciones similares.","Muestreo de conveniencia de 5 bovinos sin advertir limitaciones, extrapolando resultados a una población mayor de ganado y a técnicos/ganaderos.","Experimento de evaluación técnica con animales. Los 5 bovinos son unidades experimentales para caracterizar propiedades de 20 especies forrajeras seleccionadas intencionalmente, no muestra poblacional"
57,Codex=Claude contra Gemini,FF con reconocimiento,Debilidad importante,FF con reconocimiento,1/1/1,1/1/0,1/1/1,"Reconoce que el muestreo restringe generalización, pero mantiene implicaciones para programa y salud mental infantil.","Muestreo no probabilístico intencionado, pero los autores reconocen explícitamente que restringe la generalización de los resultados. No hay extrapolación explícita de los hallazgos.","Muestreo intencionado no probabilístico (n=444, 3 comunas). Extrapola a 'estudiantado de educación primaria' sin especificar alcance. Advierte limitaciones pero generaliza igual."
58,Gemini=Claude contra Codex,Debilidad importante,FF clasica,FF clasica,0/0/1,1/0/1,1/0/1,"Hay extrapolación pedagógica, pero no falla A porque trabaja con censo de la población definida; lo clasifico como no A&C fuerte.","El estudio usa una muestra de conveniencia (65 estudiantes de una universidad) y generaliza explícitamente a programas de formación de profesores en la región, sin advertir las limitaciones de su mues",Muestra de conveniencia de una universidad chilena (n=65) extrapolada explícitamente a programas de Latinoamérica sin advertencias sobre limitaciones de validez externa.
59,Codex=Gemini contra Claude,FF clasica,FF clasica,No evaluable,1/0/1,1/0/1,0/0/0,El componente de campo no probabilístico se usa para sostener inferencias amplias sobre imaginarios territoriales.,"Muestreo no probabilístico (conveniencia) para recoger percepciones de estudiantes/docentes, y se extrapolan las conclusiones a la población educativa ecuatoriana sin advertir limitaciones.","Investigación cualitativa descriptiva. Análisis documental de currículo y textos escolares (727 destrezas, documentos normativos exhaustivos) + talleres exploratorios 2020-2025. Sin pruebas estadístic"
60,Gemini=Claude contra Codex,FF con reconocimiento,FF clasica,FF clasica,1/1/1,1/0/1,1/0/1,"Reconoce pocos casos para T3/T4, pero generaliza a la ciudad y norma; A&C fuerte.",Muestreo no probabilístico (encuesta digital) y extrapolación explícita de resultados a la población de Loja sin advertir limitaciones.,Encuestas de percepción térmica a 65 participantes seleccionados por conveniencia digital. Extrapolan explícitamente a edificaciones residenciales de Loja sin advertir limitaciones del muestreo no-pro
61,Gemini=Claude contra Codex,FF con reconocimiento,FF clasica,FF clasica,1/1/1,1/0/1,1/0/1,Falla A&C con reconocimiento de limite: muestra no probabilistica/particular y conclusiones/recomendaciones territoriales sobre comunidades mineras.,Muestreo no probabilístico (participación de habitantes en experimentos deliberativos virtuales) y extrapolación explícita a la población de contextos mineros sin advertir limitaciones.,"Muestra no probabilística de habitantes voluntarios (n≈80), análisis econométrico y generalizaciones a contextos mineros sin advertir limitación muestral explícitamente."
62,3 distintos,FF con reconocimiento,Sin falla relevante,Debilidad importante,1/1/1,1/1/0,1/1/0,"Falla A&C con B=1: el articulo reconoce la limitacion, pero sostiene inferencia laboral/organizacional desde muestra no probabilistica.",Muestra no probabilística pero casi censal (29/31) de una población específica. Conclusiones acotadas a esa población y se advierte limitación para generalizar.,"Muestra no probabilística (causal) con n=29 de población de 31. Usa pruebas de significancia (Pearson, p-values) pero población objetivo es específica (municipalidad). Afirma cuestionablemente que mue"
63,Codex=Gemini contra Claude,Sin falla relevante,Sin falla relevante,Debilidad importante,0/0/0,0/0/1,0/0/1,No configura A&C: base oficial y diseno muestral institucional.,"Utiliza micro-datos de la EPH, una encuesta probabilística oficial, para inferir sobre la población urbana argentina, lo cual es apropiado para el diseño de la fuente de datos.","Usa EPH (encuesta muestral probabilística oficial) pero no reporta IC, EE ni discute diseño muestral. Presenta cambios temporales en proporciones e ingresos sin cuantificar incertidumbre estadística d"
64,Codex=Gemini contra Claude,Debilidad importante,Debilidad importante,Sin falla relevante,1/1/0,1/0/0,1/0/0,"Hay muestra institucional, pero no C fuerte: el articulo funciona como estudio de caso/gestion educativa.",Muestreo de estudiantes no probabilístico (autoadministrado) con conclusiones acotadas a la institución. No se advierten limitaciones del muestreo.,"Muestreo de conveniencia de estudiantes activos (67%, 53% de población); sin generalización explícita más allá de la Escuela; conclusiones acotadas al programa evaluado."
66,Gemini=Claude contra Codex,Debilidad importante,No evaluable,No evaluable,1/0/0,0/0/0,0/0/0,"No A&C fuerte: aunque usa informantes clave no probabilisticos, el nucleo no es inferencia muestral a poblacion sino mapeo cualitativo.","El artículo realiza un análisis de actores (stakeholder analysis) basado en entrevistas y revisión documental. La identificación de actores fue iterativa (bola de nieve), un método no probabilístico. ",Análisis cualitativo de actores/gobernanza con técnicas de clustering. Sin inferencia estadística sobre población definida ni problema muestral clásico.
67,Gemini=Claude contra Codex,FF clasica,Debilidad importante,Debilidad importante,1/0/1,1/0/0,1/0/1,Falla A&C: encuesta voluntaria a hoteles/directivos y lectura sectorial/organizacional amplia.,"Usa muestreo no probabilístico (cuestionario autoadministrado sin método aleatorio) para un estudio cuantitativo, pero no extrapola explícitamente.",Muestreo aparentemente intencional/conveniencia de hoteles Puebla sin método probabilístico explícito. Análisis estadístico aplicado. Sin advertencia sobre límites. Texto incompleto: no visible secció
68,Gemini=Claude contra Codex,Debilidad importante,FF clasica,FF clasica,1/1/0,1/0/1,1/0/1,"No falla fuerte: hay muestra pequena, pero el articulo acota el alcance como casos/indicios y evita una extrapolacion poblacional dura.",Muestreo no probabilístico (conveniencia/voluntario) con una muestra pequeña (13 empresas) y conclusiones generalizadas a las empresas de Rafaela sin advertir explícitamente las limitaciones de infere,"Muestreo no probabilístico (n=13 tras filtrado de 26 respuestas, sin especificar procedimiento), extrapola resultados a conclusiones generales sobre empresas sin advertir limitaciones de generalizabil"
69,3 distintos,Debilidad importante,FF clasica,No evaluable,1/0/0,1/0/1,1/0/0,"No A&C fuerte: experiencia educativa exploratoria, sin pretension central de representatividad poblacional.",Usa muestreo intencional (no probabilístico) y extrapola explícitamente los hallazgos a un contexto más amplio de educación empresarial sin advertir las limitaciones de la muestra.,Estudio cualitativo-pedagógico sin inferencia estadística. Metodología mixta con análisis temático y triangulación; no reclama generalización cuantitativa a población objetivo.
71,Codex=Gemini contra Claude,Sin falla relevante,Sin falla relevante,Debilidad importante,0/0/0,0/0/1,0/1/1,No configura A&C: base oficial y estimacion compatible con su diseno.,"El estudio utiliza datos de la Encuesta Permanente de Hogares (EPH), una encuesta probabilística diseñada para ser representativa del aglomerado de Río Cuarto, y las conclusiones se acotan a esta pobl","EPH es probabilística pero no fue diseñada para este IPM. Falta análisis de errores muestrales, intervalos de confianza y evaluación de representatividad geográfica de la encuesta origen en Río Cuarto"
73,3 distintos,Sin falla relevante,FF clasica,No evaluable,0/0/0,1/0/1,0/0/0,"Falso positivo IA: datos administrativos/operativos de pesqueria, no encuesta inferencial humana A&C.",Muestreo no probabilístico (flota APPA) y extrapolación explícita a la pesquería de anguila común del norte de Perú sin advertir limitaciones.,"Monitoreo de pesquería regulada con datos censales (100% embarcaciones APPA, 88,53% viajes registrados). Sin problema muestral clásico; es vigilancia participativa, no inferencia poblacional."
74,Gemini=Claude contra Codex,Sin falla relevante,No evaluable,No evaluable,0/1/0,0/0/0,0/0/0,"No aplica como A&C humano; si hay limitacion muestral biologica, no es la falla fuerte de muestreo no probabilistico + extrapolacion poblacional humana.","Estudio de campo ecológico sobre diversidad genética de una especie de pez, donde el muestreo es estándar para el campo y no busca inferencia epidemiológica/social en poblaciones.",Estudio de genética de poblaciones y monitoreo de fauna silvestre. El muestreo (N=19 peces) es estándar en ecología molecular y no presenta problema muestral clásico para extrapolación a población hum
75,Codex=Gemini contra Claude,Debilidad importante,Debilidad importante,No evaluable,1/0/0,1/1/0,0/0/0,"No falla fuerte: caso escolar localizado, sin C fuerte.","Muestreo no probabilístico (QR code) con uso de inferencia estadística (margen de error, confianza) que asume muestreo probabilístico. Conclusiones acotadas al caso de estudio.","Es un estudio de caso descriptivo de una institución educativa única (Colegio Superior N°1 de Rawson). Aunque hay muestreo interno de 173 individuos (~15% de ~1161 personas) y cálculos estadísticos, l"
77,Gemini=Claude contra Codex,Sin falla relevante,FF clasica,FF clasica,0/0/0,1/0/1,1/0/1,No falla fuerte: caso local con calculo muestral y cobertura completa de comercios.,"El estudio usa muestreo no probabilístico (conveniencia/consecutivo) para usuarios de la vía, pero calcula un tamaño muestral para la población de Querétaro y aplica inferencia estadística con el fin ","Muestreo intencional/conveniencia (selección en paradas, semáforos, zonas específicas) de caso local extrapolado a políticas públicas de movilidad sin advertir limitaciones inferenciales."
78,Gemini=Claude contra Codex,Sin falla relevante,Debilidad importante,Debilidad importante,0/0/0,0/1/1,0/1/1,No A&C: fuente estadistica/OD apropiada para comparacion metropolitana.,"Las encuestas O-D tienen limitaciones metodológicas reconocidas por los autores para capturar trayectos peatonales cortos, lo que genera subrepresentación y afecta la validez de los hallazgos sobre mo","Usa muestras (31.847 hogares SP, 16.667 BA, 2.230 Mvideo) sin describir diseño ni cuantificar incertidumbre. Solo estadística descriptiva. Advierte límites sobre captura de movilidad peatonal, pero no"
