archivo,titulo,anio,A,evidencia_A,B,evidencia_B,C,evidencia_C,D,confianza
02256_Revista_de_Enfermagem_da_UFPI_2025.pdf,Consumo de tabaco entre adolescentes do 7º ano em escola...,2025,Sí,"""amostra foi composta por 86 estudantes... aceitar participar voluntariamente""",Sí,"""tamanho amostral reduzido e a realização da pesquisa em uma única escola restringem a generalização""",Sí,"""Evidencia-se a necessidade de programas preventivos voltados a adolescentes""",Falla fuerte con reconocimiento,Alta
02262_Revista_de_Saúde_Pública_2024.pdf,Precarious work and methodological challenges to study hard-to-reach populations,2024,Sí,"""sharing the link to the online questionnaire on social media""",Sí,"""one of the major limitations of these studies is ensuring the representativeness""",Sí,"""delivery workers operating in the national territory""",Falla fuerte con reconocimiento,Alta
02268_Revista_de_Saúde_Pública_2020.pdf,Effect of early determinants on adolescent fat-free mass...,2020,No,"""One in seven births at each maternity hospital was recruited... proportional sharing""",Sí,"""Losses to follow up... may have contributed to underestimating associations""",Sí,"""The early determinants with the greatest effects on adolescent FFM are...""",Sin falla relevante,Alta
02269_Revista_de_Saúde_Pública_2019.pdf,Patient safety culture from the perspective of workers and primary health care teams,2019,Sí,"""A total of 144 professionals who responded to the questionnaire... participated""",Sí,"""analysis of patient safety culture in the teams associated with PHC in only one city""",Sí,"""patient safety culture among professionals in the Primary Health Care is positive""",Falla fuerte con reconocimiento,Alta
02270_Revista_de_Saúde_Pública_2017.pdf,Factors associated with self-reported discrimination against MSM in Brazil,2017,No,"""recruited utilizing respondent driven sampling""",Sí,"""the 10 cities selected may not represent MSM in Brazil""",Sí,"""The prevalence of self-reported discrimination among MSM in Brazil is high""",Sin falla relevante,Alta
02271_Saberes_Plurais_2025.pdf,"Análise da atuação de equipes da ESF em territórios do campo, floresta e das águas no Ceará",2025,Sí,"""amostra intencional de 68 profissionais da saúde e usuários""",No,Sin evidencia,Sí,"""muitos dos parâmetros comuns às equipes não estão sendo realizados nos territórios rurais""",Falla fuerte clásica,Alta
02278_Saberes_Plurais_2025.pdf,Saúde e resiliência de idosos participantes de projeto de extensão...,2025,Sí,"""foi estabelecida a técnica de amostragem por conveniência""",Sí,"""tamanho reduzido da amostra... não permiten generalizações""",No,"""participantes do Projeto de extensão UNAMI/UEMS possuem elevada resiliência""",Debilidad importante,Alta
02282_Vigilância_Sanitária_em_Debate_2025.pdf,Exposição ao benzeno em postos de combustíveis: percepções de risco...,2025,Sí,"""roteiro estruturado com 167 trabalhadores de 14 PRC do Rio de Janeiro""",No,Sin evidencia,Sí,"""exposição dos trabalhadores a múltiplos fatores de riscos advindos do processo laboral""",Falla fuerte clásica,Alta
02283_Vigilância_Sanitária_em_Debate_2024.pdf,Gerenciando riscos em salas de vacina...,2024,Sí,"""Estudo transversal, realizado nas salas de vacina... de um distrito sanitário""",No,Sin evidencia,Sí,"""aponta inadequações nas salas de vacina e necessidade da revisão dos processos""",Falla fuerte clásica,Alta
02288_Vigilância_Sanitária_em_Debate_2023.pdf,Plano de ensino orientado por metodologias ativas de ensino aplicado em cursos de BPM...,2023,Sí,"""Amostra de alunos participantes foi obtida por conveniência""",No,Sin evidencia,Sí,"""aumento estatisticamente significativo na aquisição de conhecimentos teóricos""",Falla fuerte clásica,Alta
02290_Vigilância_Sanitária_em_Debate_2021.pdf,Fatores associados à gravidade das reações transfusionais ocorridas em hospital de ensino...,2021,Sí,"""Estudo longitudinal retrospectivo... os dados foram coletados por meio das fichas de notificação""",Sí,"""Apesar dos esforços... ainda pode haver subnotificação desses eventos na instituição pesquisada""",Sí,"""estudo pode contribuir para subsidiar ações de hemovigilância no Brasil""",Falla fuerte con reconocimiento,Alta
02311_Revista_Chilena_de_Enfermería_2025.pdf,Eventos adversos relacionados a catéter venoso periférico en personas hospitalizadas...,2025,Sí,"""La muestra fue no probabilística por conveniencia de los casos disponibles""",Sí,"""Una de las limitantes... se relaciona a la naturaleza de prevalencia puntual... no existe representatividad""",Sí,"""fortalecimiento de prácticas clínicas para prevenir eventos adversos en personas con necesidad de un catéter""",Falla fuerte con reconocimiento,Alta
02313_Revista_Chilena_de_Enfermería_2024.pdf,Calidad de vida y autocuidado en adultos mexicanos con tratamiento de hemodiálisis en un hospital,2024,Sí,"""El muestreo fue intencionado a conveniencia para lograr un tamaño muestral lo más cercano al universo""",Sí,"""limitación del estudio son que fue un diseño transversal... cuestionarios de autoevaluación""",Sí,"""Los pacientes con hemodiálisis tienen buena calidad de vida y alta capacidad de autocuidado""",Falla fuerte con reconocimiento,Alta
02316_Revista_Chilena_de_Enfermería_2024.pdf,Evaluación de la formulación del proceso de enfermería en estudiantes de segundo año...,2024,Sí,"""Se seleccionaron convenientemente 160 trabajos presentados por estudiantes""",Sí,"""Como sesgo se observa que al interactuar con cohortes cerradas no existe la posibilidad de comparación temporal""",Sí,"""Se proponen intervenciones... Esta propuesta podría extenderse a otras poblaciones""",Falla fuerte con reconocimiento,Alta
02319_Revista_Chilena_de_Enfermería_2024.pdf,"Relación entre compromiso académico, satisfacción académica y actividad laboral en estudiantes...",2024,Sí,"""se utilizó un muestreo no probabilístico por conveniencia""",Sí,"""muestreo no probabilístico limita la generalización de los resultados a otras poblaciones""",Sí,"""integración de responsabilidades laborales y académicas podría beneficiar el desarrollo de los estudiantes""",Falla fuerte con reconocimiento,Alta
02320_Revista_Chilena_de_Enfermería_2024.pdf,Relación entre estrés académico y ansiedad en estudiantes universitarios mexicanos,2024,Sí,"""Muestreo no probabilístico a conveniencia, se encuestó a 102 participantes""",Sí,"""tamaño reducido y seleccionada de manera intencionada, lo que limita la posibilidad de extrapolar los resultados""",Sí,"""a mayor estrés académico mayor será ansiedad en los estudiantes universitarios mexicanos""",Falla fuerte con reconocimiento,Alta
02325_Revista_Chilena_de_Salud_Públi_2025.pdf,Evaluación de riesgo en salud por exposición a arsénico en agua en localidades rurales...,2025,No,"""recolectó 294 muestras de agua... según la norma de muestreo del agua potable 409/1""",Sí,"""una de las limitaciones de este estudio es el uso de metodologías de evaluación de riesgo determinísticas""",Sí,"""Las localidades estudiadas presentan un alto riesgo de efectos adversos en salud""",Sin falla relevante,Alta
02327_Revista_Chilena_de_Salud_Públi_2025.pdf,Judicialización del acceso a prestaciones médicas: el caso del Nusinersen (Spinraza)...,2025,Sí,"""Se realizó una búsqueda online de los términos Spinraza y Nusinersen dentro de la base de datos vLex""",No,Sin evidencia,Sí,"""el proceso de judicializar el acceso a este fármaco es poco eficiente""",Falla fuerte clásica,Alta
02329_Revista_Chilena_de_Salud_Públi_2025.pdf,Metahemoglobinemia adquirida secundaria a exposición a plaguicidas: rol de la vitamina C,2025,Sí,"""Se realizó un muestreo no probabilístico por conveniencia que incluyó 112 trabajadores""",No,Sin evidencia,Sí,"""La vitamina C administrada vía oral es una alternativa terapéutica eficaz y segura""",Falla fuerte clásica,Alta
02345_Revista_Colombiana_de_Gastroen_2025.pdf,Asociación entre altitud y lesiones gástricas en pacientes de un hospital de alta complejidad...,2025,No,"""Se realizó un muestreo aleatorio estratificado según la zona de residencia""",Sí,"""no fue posible analizar la relación... debido a que no se encontró consenso en el reporte de las biopsias""",Sí,"""hay una tendencia a que los pacientes con cáncer residan mayoritariamente en las zonas de altitud elevada""",Sin falla relevante,Alta
02138_O_Mundo_da_Saúde_2024.pdf,Estudo de fase II de pregabalina para prevenção de náuseas e vômitos induzidos por quimioterapia,2024,No,"""foi realizado um ensaio clínico de fase II, aleatorizado""",Sí,"""amostras maiores""",No,"""Neste estudo não foi identificada ação da pregabalina""",Sin falla relevante,Alta
02140_O_Mundo_da_Saúde_2023.pdf,Práticas Integrativas e Complementares em Saúde no enfrentamento da Covid-19 por trabalhadores remoto,2023,Sí,"""selecionados aleatoriamente por convite em redes sociais""",No,Sin evidencia,Sí,"""procurados para o enfrentamento da pandemia Covid-19, por trabalhadores em TR""",Falla fuerte clásica,Alta
02142_PAJAR_-_Pan_American_Journal_o_2025.pdf,Medo de queda e desempenho funcional de pessoas idosas da comunidade,2025,Sí,"""os participantes foram escolhidos por conveniência""",Sí,"""Como limitações do estudo, aponta-se... quantidade de participantes homens e mulheres""",Sí,"""o medo de cair pode influenciar o desempenho funcional da pessoa idosa""",Falla fuerte con reconocimiento,Alta
02143_PAJAR_-_Pan_American_Journal_o_2024.pdf,Desafios e relevância da condução veicular para a pessoa idosa,2024,Sí,"""por meio de uma amostra de conveniência""",Sí,"""limitação deste estudo é a ausência de controle sobre algumas variáveis""",Sí,"""Desafios e relevância da condução veicular para a pessoa idosa""",Falla fuerte con reconocimiento,Alta
02145_PAJAR_-_Pan_American_Journal_o_2024.pdf,Fatores associados à presença de incontinência urinária em um grupo de pessoas idosas atendidas em um ambulatório-escola,2024,Sí,"""prontuários de 108 pessoas idosas atendidas em um ambulatório interdisciplinar""",Sí,"""a pesquisa baseou-se em dados de prontuário, portanto em IU autorreferida""",Sí,"""importância de averiguar a síndrome na população geriátrica""",Falla fuerte con reconocimiento,Alta
02146_PAJAR_-_Pan_American_Journal_o_2024.pdf,Manifestações contratransferenciais e manejo psicofarmacológico no primeiro atendimento de idosos,2024,Sí,"""Os participantes foram escolhidos conforme demanda espontânea no ambulatório""",Sí,"""estudo foi restrito ao Ambulatório... de forma a limitar os resultados""",Sí,"""compreensão das manifestações contratransferenciais como uma ferramenta dentro da prática clínica""",Falla fuerte con reconocimiento,Alta
02147_PAJAR_-_Pan_American_Journal_o_2024.pdf,Prevalência da fragilidade multidimensional e risco de sarcopenia em pessoas idosas admitidas em um hospital,2024,Sí,"""amostra foi composta por 1780 prontuários de pessoas idosas internadas em hospital público""",Sí,"""limitação do presente estudo é não descrever características da amostra""",Sí,"""há prevalência da fragilidade multidimensional... entre pessoas idosas hospitalizadas""",Falla fuerte con reconocimiento,Alta
02148_PAJAR_-_Pan_American_Journal_o_2024.pdf,"Saúde mental, uso de medicamentos e mudanças de hábitos em idosos durante a pandemia de COVID-19",2024,Sí,"""voluntários foram recrutados... Ambulatório... igrejas... redes sociais""",Sí,"""o estudo apresentou um número relativamente pequeno de voluntários""",Sí,"""ha relação entre doenças crônicas e distúrbios psiquiátricos em idosos""",Falla fuerte con reconocimiento,Alta
02150_PAJAR_-_Pan_American_Journal_o_2023.pdf,Transtorno depressivo recorrente e desempenho cognitivo em idosos: um estudo de caso controle,2024,Sí,"""seleção por conveniência""",Sí,"""limitações do presente estudo incluem... seleção por conveniência""",Sí,"""relação entre transtorno depressivo recorrente (TDR) em idosos""",Falla fuerte con reconocimiento,Alta
02151_Pesquisa_Brasileira_em_Odontop_2026.pdf,ICCC Agreement in Restorative Treatment Decisions by Brazilian Dentists and Dental Students,2026,Sí,"""virtual questionnaires... survey was sent to all eligible dentists and students""",Sí,"""estudo limitado a dentistas e estudantes de odontologia de um único estado""",Sí,"""Brazilian Dentists and Dental Students""",Falla fuerte con reconocimiento,Alta
02152_Pesquisa_Brasileira_em_Odontop_2026.pdf,Resolution of Endodontic Treatments in Municipalities with Brazilian Dental Specialty Centers - CEO: Ecological Study,2026,No,"""ecological study at the municipal aggregation level... secondary data from SUS""",Sí,"""causal interpretation... should be avoided""",Sí,"""resolution of endodontic treatment in SUS in Brazilian municipalities""",Sin falla relevante,Alta
02155_Pesquisa_Brasileira_em_Odontop_2025.pdf,Different Methods for Using a Validated Comic to Promote the Safe Use of Fluoridated Toothpaste Among Children,2026,Sí,"""educators recruited from public schools in Macapá""",No,Sin evidencia,Sí,"""impact of educational strategies in promoting safe oral health practices""",Falla fuerte clásica,Alta
02159_Pesquisa_Brasileira_em_Odontop_2025.pdf,Microbiological Analysis of Oral Biofilm and Tracheal Aspirate in Child Patients under Mechanical Ventilation,2026,Sí,"""35 children... Maranhão""",No,Sin evidencia,Sí,"""child patients under mechanical ventilation""",Falla fuerte clásica,Alta
02160_Pesquisa_Brasileira_em_Odontop_2025.pdf,Oral Health of Autistic Children and Parental Attitudes Towards their Oral Care,2026,Sí,"""association for the care of these children""",No,Sin evidencia,Sí,"""children with autism""",Falla fuerte clásica,Alta
02165_RGO_Revista_Gaúcha_de_Odontolo_2025.pdf,Prevalence of malocclusion in obese children,2025,Sí,"""Children’s Obesity Center at the Varela Santiago Children’s Hospital""",No,Sin evidencia,Sí,"""obese children""",Falla fuerte clásica,Alta
02168_RGO_Revista_Gaúcha_de_Odontolo_2024.pdf,Oral cancer and prosthetic rehabilitation: how does the patient reacts?,2024,Sí,"""100% of volunteers""",No,Sin evidencia,Sí,"""Oral cancer and prosthetic rehabilitation""",Falla fuerte clásica,Alta
02172_Rasbran_2025.pdf,A influência de programas brasileiros de transferência de renda na qualidade da dieta e na segurança alimentar dos beneficiários,2024,Sí,"""51 famílias voluntárias""",Sí,"""habitava na região Sul... estudo ter sido conduzido nesta localidade""",Sí,"""beneficiários de programas brasileiros de transferência de renda""",Falla fuerte con reconocimiento,Alta
02175_Rasbran_2023.pdf,Avaliação do funcionamento intestinal com o uso agudo de Kombucha do tipo SCOBY em crianças com e sem trissomia do cromossomo 21,2022,Sí,"""amostra, não probabilística, por conveniência... 4 crianças""",Sí,"""seriam interessantes... n amostral maior""",Sí,"""regulação intestinal de crianças com e sem T21""",Falla fuerte con reconocimiento,Alta
02179_Rasbran_2023.pdf,Risco de síndrome de realimentação e desfechos clínicos em pacientes de prontos-socorros do Distrito Federal,2023,Sí,"""dois hospitais públicos do Distrito Federal""",Sí,"""limitações quanto à sua população... amostra pouco específica""",Sí,"""pacientes de prontos-socorros""",Falla fuerte con reconocimiento,Alta
02180_Rasbran_2023.pdf,Risco nutricional de pacientes com COVID-19 internados em uma unidade de terapia intensiva de referência em Joinville/SC,2023,Sí,"""hospital público de referência... Joinville""",No,Sin evidencia,Sí,"""pacientes criticamente doentes com COVID-19""",Falla fuerte clásica,Alta
02185_Revista_Bioética_2025.pdf,Comunicação de más notícias: uma necessidade negligenciada?,2025,Sí,"""link de formulário eletrônico... para ser redirecionado nas redes sociais das turmas""",Sí,"""Há a necessidade de ampliação da amostra""",Sí,"""Demonstra-se grave subvalorização do tema no ensino médico""",Falla fuerte con reconocimiento,Alta
02188_Revista_Bioética_2025.pdf,Ordem de não reanimação em pacientes oncológicos na UTI,2025,Sí,"""selecionados por amostragem por conveniência""",Sí,"""limitações na generalização dos achados""",Sí,"""investigar a opinião de médicos atuantes em UTI acerca da não reanimação""",Falla fuerte con reconocimiento,Alta
02191_Revista_Contexto_Saúde_2026.pdf,Adherence to antiretroviral treatment by pregnant women living with HIV,2026,Sí,"""convenience sampling""",Sí,"""recruitment at a single center, and convenience sampling, which may affect generalizability""",Sí,"""adherence to treatment among pregnant women living with HIV did not reach ideal levels""",Falla fuerte con reconocimiento,Alta
02195_Revista_Contexto_Saúde_2026.pdf,Understanding of people with spinal cord injury about the performance of transfers,2026,Sí,"""non-probabilistic snowball sampling was used""",Sí,"""results were built based on the understanding of paraplegics from a single region""",Sí,"""relevance of nursing interventions... within the scope of rehabilitation for people with SCI""",Falla fuerte con reconocimiento,Alta
02197_Revista_Contexto_Saúde_2026.pdf,Influence of sociodemographic factors on... use of regional foods,2026,Sí,"""population was selected through convenience sampling""",Sí,"""restricts the representativeness... and, consequently, the generalization of the results""",Sí,"""sociodemographic and economic factors... directly influence KAP""",Falla fuerte con reconocimiento,Alta
02199_Revista_Contexto_Saúde_2025.pdf,Perception of ethical climate among nurses in the hospital setting,2025,Sí,"""voluntarily participated in the study, according to their availability""",Sí,"""conducted with a specific sample... the results cannot be generalized""",Sí,"""Understand the perception of ethical climate among nurses in the hospital settings""",Falla fuerte con reconocimiento,Alta
02204_Revista_Enfermagem_UERJ_2025.pdf,Resultado da adesão ao sistema de alerta obstétrico precoce modificado,2025,Sí,"""documental, retrospectivo, com dados de prontuários""",Sí,"""falta de informações sociodemográficos e obstétricos que não foram encontrados""",Sí,"""pode ajudar no diagnóstico e tratamento oportunos... em gestantes""",Falla fuerte con reconocimiento,Media
